"Title","driv_type","ES"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Environmental","Food"
"Mapping Watershed-Level Ecosystem Service Bundles in the Pearl River Delta, China","Environmental","CulturePsych"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Environmental","Food"
"Meteorological conditions and site characteristics driving edible mushroom production in Pinus pinaster forests of Central Spain","Biotic","Food"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Environmental","HabCreate"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","LU_LC","ClimReg"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Environmental","Food"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","LU_LC","HabCreate"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","LU_LC","coastWQReg"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Human","coastWQReg"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Human","Food"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Biotic","HabCreate"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Biotic","SoilProtect"
"Linking ecosystem services supply, social demand and human well-being in a typical mountain-oasis-desert area, Xinjiang, China","Biotic","Food"
"Realizing ecosystem services: wetland hydrologic function along a gradient of ecosystem condition","LU_LC","freshWQReg"
"Agricultural practices for food safety threaten pest control services for fresh produce","Human","Food"
"Agricultural practices for food safety threaten pest control services for fresh produce","Biotic","PestPath"
"Agricultural practices for food safety threaten pest control services for fresh produce","Biotic","Food"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","Human","Pollination"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","Human","PestPath"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","Human","Food"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","LU_LC","Pollination"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","LU_LC","PestPath"
"Landscape greening and local creation of wildflower strips and hedgerows promote multiple ecosystem services","LU_LC","Food"
"Late flowering time enhances insect pollination of turnip rape","LU_LC","Pollination"
"Late flowering time enhances insect pollination of turnip rape","Human","Pollination"
"Late flowering time enhances insect pollination of turnip rape","LU_LC","Food"
"Late flowering time enhances insect pollination of turnip rape","Human","Food"
"Late flowering time enhances insect pollination of turnip rape","Biotic","Pollination"
"Late flowering time enhances insect pollination of turnip rape","Biotic","Food"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","LU_LC","Pollination"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","Human","Pollination"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","LU_LC","PestPath"
"Landscape heterogeneity and farming practice alter the species composition and taxonomic breadth of pollinator communities","Human","PestPath"
"Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands","Biotic","coastWQReg"
"Harvesting invasive plants to reduce nutrient loads and produce bioenergy: an assessment of Great Lakes coastal wetlands","Biotic","Energy"
"Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","Human","HabCreate"
"Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","Human","PestPath"
"Converting Lawn to Restored Forest on a Midwest College Campus: A Seven Year Assessment of Herbaceous Plant Establishment","Biotic","HabCreate"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","LU_LC","PestPath"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Human","PestPath"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Human","Food"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Biotic","Food"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Environmental","PestPath"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Environmental","Food"
"Combined effects of agrochemicals and ecosystem services on crop yield across Europe","Biotic","PestPath"
"Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system","Human","SoilProtect"
"Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system","Human","PestPath"
"Functional diversity in cover crop polycultures increases multifunctionality of an agricultural system","Human","Food"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","Pollination"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","ClimReg"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","coastWQReg"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","SoilProtect"
"The Monteregie Connection: linking landscapes, biodiversity, and ecosystem services to improve decision making","LU_LC","Hazards"
