ES,yclass,yresponse,count
Food,Proxy for ES,seed set per plant,1
HabCreate,EF,seedbank abundance,1
CulturePsych,Proxy for ES,semi-natural space type,1
freshWQReg,Proxy for ES,semi-natural space type,1
ClimReg,Proxy for ES,semi-natural space type,1
MaintainOpts,EF,shannon diversity,1
HabCreate,Proxy for ES,shanon-weiner floristic diversity,1
Food,ES,sheep,1
ClimReg,Proxy for ES,shoot biomass,1
MaintainOpts,EF,simpsons diversity,1
CulturePsych,NA,site size(well-being),1
Materials,ES,size,1
SoilProtect,EF,social organic matter,1
Food,Proxy for ES,social vulnerability,1
Food,Proxy for ES,socio-ecological vulnerability,1
coastWQReg,EF,sodium and chloride contents,1
Food,ES,soil,1
SoilProtect,Proxy for ES,soil & site stability score (rangeland health assessment),1
SoilProtect,ES,soil building,1
SoilProtect,EF,soil bulk density,2
SoilProtect,Proxy for ES,soil bulk density,1
SoilProtect,EF,soil c,1
SoilProtect,EF,soil c:n,1
SoilProtect,ES,soil carbon,1
ClimReg,ES,soil carbon,2
SoilProtect,Proxy for ES,soil carbon,1
ClimReg,Proxy for ES,soil carbon,2
ClimReg,ES,soil carbon pool,1
ClimReg,Proxy for ES,soil carbon pool,1
ClimReg,EF,soil carbon storage,1
SoilProtect,ES,soil community composition,1
SoilProtect,EF,soil conductivity,1
SoilProtect,EF,soil conservation,1
SoilProtect,ES,soil conservation,3
SoilProtect,ES,soil conservation function,1
SoilProtect,Proxy for ES,soil coverage,1
SoilProtect,Proxy for ES,soil density,1
SoilProtect,EF,soil erosion,1
SoilProtect,Proxy for ES,soil erosion,1
SoilProtect,ES,soil erosion by wind,1
SoilProtect,ES,soil erosion rate,1
SoilProtect,ES,soil fertility,1
SoilProtect,ES,soil food web,1
SoilProtect,EF,soil formation and retention,1
SoilProtect,ES,soil formation and retention,1
SoilProtect,Proxy for ES,soil loss potential,1
SoilProtect,EF,soil microbial biomass,1
SoilProtect,EF,soil microbial biomass carbon,1
SoilProtect,Proxy for ES,soil microbial biomass carbon,1
SoilProtect,ES,soil microbial composition,1
SoilProtect,Proxy for ES,soil microbial composition,1
SoilProtect,ES,soil microbial extracellular enzyme activity,1
SoilProtect,Proxy for ES,soil microbial extracellular enzyme activity,1
SoilProtect,ES,soil microbial metabolics,1
SoilProtect,Proxy for ES,soil microbial metabolics,1
SoilProtect,EF,soil multifunctionality index,1
SoilProtect,EF,soil n,1
SoilProtect,ES,soil n,1
SoilProtect,Proxy for ES,soil n,1
ClimReg,ES,soil nitrogen,1
ClimReg,Proxy for ES,soil nitrogen,1
SoilProtect,EF,soil organic carbon,1
ClimReg,EF,soil organic carbon,2
SoilProtect,ES,soil organic carbon,1
ClimReg,ES,soil organic carbon,1
SoilProtect,EF,soil organic matter,2
SoilProtect,ES,soil organic matter,1
SoilProtect,Proxy for ES,soil organic matter,2
SoilProtect,EF,soil ph,2
SoilProtect,ES,soil ph,1
SoilProtect,Proxy for ES,soil ph,2
SoilProtect,ES,soil phosphorous,1
SoilProtect,Proxy for ES,soil phosphorous,1
coastWQReg,ES,soil phosphorus saturation,1
SoilProtect,ES,soil protection,1
SoilProtect,ES,soil quality,1
ClimReg,EF,soil respiration,1
SoilProtect,EF,soil respiration rate,1
SoilProtect,EF,soil retention,1
SoilProtect,ES,soil retention,2
SoilProtect,NA,soil retention,1
CulturePsych,Proxy for ES,soil temprature,1
SoilProtect,ES,soil water content,1
SoilProtect,Proxy for ES,soil water content,1
